 0: 0x95  -> $D195
 1: 0x88  -> $D223
 2: 0x8D  -> $D17A
 3: 0xAF  -> $D296
 4: 0xBB  -> $D285
 5: 0x9B  -> $D32B
 6: 0xD8  -> $D37E
 7: 0xA0  -> $D49A
 8: 0xD4  -> $D180
 9: 0xAC  -> $D2D0
10: 0x8A  -> $D296
11: 0x8B  -> $D285
12: 0xAD  -> $D6E1
13: 0xBD  -> $D6FD
14: 0xD2  -> $D79C
15: 0xC5  -> $D7BF
16: 0xC3  -> $D7BF
17: 0xD3  -> $D7BF
18: 0xCD  -> $D7BF
19: 0xC1  -> $D7BF
20: 0xCC  -> $D7BF
21: 0xD7  -> $D7BF
22: 0xB1  -> $D71C
23: 0xB2  -> $D71C
24: 0xB3  -> $D71C
25: 0xB4  -> $D71C
26: 0xB5  -> $D71C
27: 0xB6  -> $D71C
28: 0xB7  -> $D71C
29: 0xB8  -> $D71C
30: 0xB9  -> $D71C
31: 0xB0  -> $D71C
32: 0xAE  -> $D364
